Date,Sender,FileName,Department,Url
1/14/2026 11:03:56,ระบบเดิม (นำเข้า),59-2569 เรื่อง แจ้งรหัสการเข้าใช้งานระบบ MOE DO.pdf,บริหารงานทั่วไป,https://drive.google.com/file/d/12J4mN_KH0l5wxyaHgeKJrq2XqqB8uhr4/view?usp=drivesdk
3/25/2026 15:52:44,ระบบเดิม (นำเข้า),260-2569 เรื่อง จัดสรรงบ ปีงบ 2569 งบรายจ่ายอื่นธุรการ (ธุรการ พี่เลี้ยง จ้างเหมา 1 เดือน มีนาคม).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1xdV5M0OXJEdQrGvOj-wTkBUAqrcUS46q/view?usp=drivesdk
3/25/2026 15:52:42,ระบบเดิม (นำเข้า),262-2569 เรื่อง จัดสรรงบ ปีงบ 2569 ครูประจำห้องเรียนค่ขนานสำหรับบุคคลออทิสติก (1 เดือน มีนาคม).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/133vZjW4Rijxyy7viefPpel3o-zwNs2nV/view?usp=drivesdk
3/25/2026 15:52:41,ระบบเดิม (นำเข้า),261-2569 เรื่อง จัดสรรงบ ปีงบ 2569 ครูประจำศูนย์ฯโรงพยาบาล (1 เดือน มีนาคม).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1AdOe572NwFbISu9LrnPh7yhzM0Cro0QA/view?usp=drivesdk
3/23/2026 16:55:08,ระบบเดิม (นำเข้า),249-2569 เรื่อง แจ้งจัดสรรงบประมาณรายจ่าย ปีงบ 69 งบบุคลากรและงบดำเนินงาน ครั้งที่ 2 (พนักงานราชการ 5 เดือน  มี.ค - ก.ค.).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1LUEXN3SUU7NA34zrJmKYkmr6P95Scy70/view?usp=drivesdk
3/24/2026 14:20:04,ระบบเดิม (นำเข้า),256-2569 เรื่อง การโอนเปลี่ยนแปลง ปีงบ 2569 ครั้งที่ 383 (พนักงาน มี.ค. - ก.ค.).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1LYZsQg6c3s9VDN5tFUVEyRr19LsToH0s/view?usp=drivesdk
3/23/2026 16:55:15,ระบบเดิม (นำเข้า),240-2569 เรื่อง การคัดเลือกครูผู้สมควรได้รับพระราชทานรางวัลสมเด็จเจ้าฟ้ามหาจักรี ครั้งที่ 7 ปี 2570.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1Yclvzi1D2Loz92rvTUAGL8-G-WUn9Cun/view?usp=drivesdk
3/23/2026 16:55:14,ระบบเดิม (นำเข้า),248-2569 เรื่อง ประชาสัมพันธ์การเปิดรับสมัครสมาชิก ช.พ.ค. และสมาชิก ช.พ.ส.เป็นกรณีพิเศษ 2569.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1HTic-O0T7oENoAj8SBpHJYUcb55LPBEG/view?usp=drivesdk
3/23/2026 16:55:12,ระบบเดิม (นำเข้า),243-2569 เรื่อง เชิญร่วมกิจกรรมเฉลิมพระเกียรติสมเด็พระเทพรัตนราชสุดาฯ.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1X-qW8387q0ZAomww4HrPoSjzrFUJItue/view?usp=drivesdk
3/23/2026 16:55:11,ระบบเดิม (นำเข้า),242-2569 เรื่อง เชิญร่วมงานวันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกและวันที่ระลึกมหาจักรี.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1Mn2rL_DFMcet5SDuwMiZ5dlvax_kqXO4/view?usp=drivesdk
3/23/2026 16:55:09,ระบบเดิม (นำเข้า),253-2569 เรื่อง จัดส่งบัตรประจำตัวเจ้าหน้าที่ของรัฐ (รองผู้อำนวยการ).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/16o0Gb89S2txFRxiAyQ0YE_e3j3zrzhQM/view?usp=drivesdk
3/19/2026 14:30:40,ระบบเดิม (นำเข้า),236-2569 เรื่อง ขอส่งตัวบุคลากรกลับไปปฏิบัติหน้าที่.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/11RqoG25U2doO7ua0ZLZe5mHwkQTICnE7/view?usp=drivesdk
3/17/2026 16:23:58,ระบบเดิม (นำเข้า),232-2569 เรื่อง ขอความอนุเคราะห์รสำรวจข้อมูลบุคลากรวิชาชีพกายภาพบำบัดในสถานศึกษาสังกัดสำนักบริหารงานการศึกษาพิเศษ.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1aoS8aiOFeX201mZXpZc2ACpvSec5D1JU/view?usp=drivesdk
